gameid,title,platform,developers,publishers,genres,supported_languages,release_date
702153,KAMiBAKO - Mythology of Cube -,PS5,['Gravity Game Arise'],['Gravity Game Arise'],"['Puzzle', 'Role Playing']","['Japanese', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)']",2024-08-29
702069,Leo: The Firefighter Cat,PS5,['Honikou Games'],['Maximum Entertainment'],['Action-Adventure'],"['French', 'Spanish', 'German', 'Italian', 'Dutch', 'Polish']",2024-08-29
701991,Risk of Rain 2,PS5,['Hopoo Games'],['Arc Games'],"['Roguelite', 'Third Person Shooter']","['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Russian', 'Korean', 'Chinese (simplified)', 'Portuguese (Brazil)', 'Turkish']",2024-08-27
701971,Dead by Daylight 3/3,PS4,['Behaviour Interactive'],"['Behaviour Interactive', 'Starbreeze Studios', '3goo', '505 Games']",['Action Horror'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Portuguese (Brazil)', 'Turkish', 'Spanish (Mexico)', 'French (Canada)']",2017-06-20
701796,Parking Masters,PS4,['Jozef Debecki'],['Jozef Debecki'],['Action'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Dutch', 'Portuguese', 'Russian', 'Chinese (simplified)', 'Polish', 'Turkish', 'Czech', 'Hungarian', 'Romanian', 'Indonesian']",2024-08-15
701764,Snake Seeker,PS4,['Aristo Studio'],['Aristo Studio'],['Action'],,2024-06-26
701731,Classic Racers Elite,PS5,['Vision Reelle'],"['GS2 Games', 'Funbox Media']","['Automobile', 'Arcade Racing']",,2024-08-27
701725,Supermarket Simulator Pro,PS4,['RandomSpin Games'],['RandomSpin Games'],['Simulation'],,2024-08-23
701712,GP CLUB LIFE,PS4,['New Star Games'],['Rainy Frog'],"['Automobile', 'Arcade Racing']",['English'],2024-08-22
701640,Dustborn,PS4,['Red Thread Games'],['Quantic Dream'],['Action-Adventure'],"['Japanese', 'French', 'Spanish', 'Italian', 'Russian', 'Chinese (simplified)', 'Norway', 'Polish', 'Portuguese (Brazil)', 'Spanish (Mexico)']",2024-08-20
701605,Time Trap: Hidden Objects,PS5,"['Two Cakes Studio', 'Crisp App Studio']",['Two Cakes Studio'],['Puzzle'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Dutch', 'Korean', 'Chinese (traditional)', 'Portuguese (Brazil)']",2024-08-22
701511,Fruit Harvest Sorter,PS4,['Enningture Game Temple'],['Enningture Game Temple'],"['Puzzle', 'Platformer']",,2024-08-26
701398,GUNDAM BREAKER 4,PS5,['Crafts & Meister'],['BANDAI NAMCO Games'],['Mech'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Portuguese (Brazil)', 'Thai', 'Indonesian']",2024-08-29
701389,PILEUP,PS4,"['Xitilon', 'ABA Games']",['Xitilon'],['Action'],,2024-08-27
701388,PILEUP,PS4,"['Xitilon', 'ABA Games']",['Xitilon'],['Action'],,2024-08-27
701385,Date Z,PS4,['Mass Creation'],['We Dig Games'],['Visual Novel'],['Japanese'],2024-08-30
701289,Tents and Trees,PS4,['Frozax Games'],['Frozax Games'],['Puzzle'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Dutch', 'Russian', 'Korean', 'Chinese (simplified)', 'Finnish', 'Swedish', 'Norway', 'Polish', 'Portuguese (Brazil)', 'Turkish', 'Czech', 'Hungarian']",2024-10-09
701260,UP SHOT,PS4,"['Xitilon', 'ABA Games']",['Xitilon'],['Action'],,2024-08-25
701210,Mining Mechs,PS5,"['Delayed Victory', 'eastasiasoft']",['eastasiasoft'],"['Simulation', 'Sandbox']",,2024-09-04
701209,Mining Mechs,PS4,"['Delayed Victory', 'eastasiasoft']",['eastasiasoft'],"['Simulation', 'Sandbox']",,2024-09-04
491261,Kombinera,PS5,['Graphite Lab'],"['Atari', 'Limited Run Games']","['Puzzle', 'Platformer']",,2022-04-07
701064,Thermonuclear,PS5,['Meridian4'],['Ratalaika Games'],"['Strategy', 'Turn Based']",,2024-08-23
